Component,Version,CVE,Matching type,CVSS Version,CVSS,CVE publication date,Is Affected,Reason Type,Remarks,Confirmer,Object,Object compilation date,Object full path,Obj_Sha1,,,,
apache,2.4.6,CVE-2017-7679,Exact match,3.0,9.8,2017-06-20T01:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2017-15715,Exact match,3.0,8.1,2018-03-26T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2018-1312,Exact match,3.0,9.8,2018-03-26T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2017-15710,Exact match,3.0,7.5,2018-03-26T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2018-1283,Exact match,3.0,5.3,2018-03-26T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2014-0098,Exact match,2.0,5.0,2014-03-18T05:18:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2014-0117,Exact match,2.0,4.3,2014-07-20T11:12:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2014-0118,Exact match,2.0,4.3,2014-07-20T11:12:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2014-0226,Exact match,2.0,6.8,2014-07-20T11:12:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2014-0231,Exact match,2.0,5.0,2014-07-20T11:12:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
